Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;Nomenklatura2;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
4514;P3629319 3;;Центр;СК-42;P-36-117-А-г;6754506.79;6564101.78;Hn=  91.80 ;G98=  1.85;BL-42;60°53'42.5841";34°10'51.0484";G87=  2.31;CK-63/42;C-63- 42-А-г;6742894.04;C4262531.87;6746046.28;C5099702.88;СК-95;6754508.56;6564102.24;Hg=  93.22;EGM=  1.42;BL-95;34°10'51.0810";60°53'42.6410";ПЗ-90.02;2573189.61;1747335.81;5549766.40;ПЗ-90.02;2573189.61;1747335.81;5549766.40;WGS-84;2573190.28;1747336.31;5549768.12;BL-WGS;60°53'42.9313";34°10'43.1036";Hw= 106.58;Gwg= 14.77
4981;P3629318 3;;Центр;СК-42;P-36-117-А-а;6761933.51;6558284.52;Hn=  63.10 ;G98=  1.73;BL-42;60°57'45.7100";34°04'33.4311";G87=  2.18;CK-63/42;C-63- 42-А-б;6750403.95;C4256823.10;6753811.75;C5094342.19;СК-95;6761935.28;6558284.97;Hg=  64.47;EGM=  1.37;BL-95;34°04'33.4629";60°57'45.7669";ПЗ-90.02;2570924.84;1738928.97;5553397.87;ПЗ-90.02;2570924.84;1738928.97;5553397.87;WGS-84;2570925.52;1738929.47;5553399.59;BL-WGS;60°57'46.0546";34°04'25.4615";Hw=  77.95;Gwg= 14.84
6821;P3629216 2;Половинник, сигн. 32.9 м;Центр 37;СК-42;P-36-117-А-б;6762233.80;6566006.84;Hn= 124.1 г;G98=  1.84;BL-42;60°57'51.0421";34°13'06.8780";G87=  2.17;CK-63/42;C-63- 42-Б-а;6750592.25;C4264548.61;6753646.20;C5102070.38;СК-95;6762235.58;6566007.30;Hg= 125.54;EGM=  1.44;BL-95;34°13'06.9108";60°57'51.0993";ПЗ-90.02;2566493.08;1745258.74;5553531.38;ПЗ-90.02;2566493.08;1745258.74;5553531.38;WGS-84;2566493.75;1745259.25;5553533.10;BL-WGS;60°57'51.3957";34°12'58.9181";Hw= 138.87;Gwg= 14.77
7579;P3629320 3;;Центр;СК-42;P-36-117-А-г;6750124.57;6561173.91;Hn= 127.90 ;G98=  1.84;BL-42;60°51'22.6968";34°07'31.9388";G87=  2.39;CK-63/42;C-63- 42-А-г;6738554.89;C4259540.97;6741847.27;C5096515.78;СК-95;6750126.34;6561174.36;Hg= 129.28;EGM=  1.38;BL-95;34°07'31.9706";60°51'22.7537";ПЗ-90.02;2578020.97;1746982.93;5547690.50;ПЗ-90.02;2578020.97;1746982.93;5547690.50;WGS-84;2578021.65;1746983.44;5547692.22;BL-WGS;60°51'23.0386";34°07'23.9996";Hw= 142.69;Gwg= 14.78
8466;P3629217 2;Лепручей, сигн. 35.2 м;Центр 2оп Марка № 10890;СК-42;P-36-117-А-в;6750988.39;6555748.71;Hn= 101.6  ;G98=  1.70;BL-42;60°51'53.4741";34°01'33.5590";G87=  2.38;CK-63/42;C-63- 42-А-в;6739497.15;C4254129.08;6743036.36;C5091151.03;СК-95;6750990.17;6555749.16;Hg= 102.85;EGM=  1.25;BL-95;34°01'33.5906";60°51'53.5314";ПЗ-90.02;2580352.36;1742028.28;5548131.30;ПЗ-90.02;2580352.36;1742028.28;5548131.30;WGS-84;2580353.04;1742028.78;5548133.02;BL-WGS;60°51'53.8107";34°01'25.6112";Hw= 116.36;Gwg= 14.76
9843;P3628332 3;;Центр;СК-42;P-36-116-Б-б;6761598.51;6551870.55;Hn=  89.00 ;G98=  1.61;BL-42;60°57'38.1034";33°57'26.9251";G87=  2.17;CK-63/42;C-63- 42-А-а;6750161.97;C4250405.19;6753863.79;C5087917.94;СК-95;6761600.25;6551871.00;Hg=  90.29;EGM=  1.29;BL-95;33°57'26.9567";60°57'38.1594";ПЗ-90.02;2574696.46;1733731.25;5553306.15;ПЗ-90.02;2574696.46;1733731.25;5553306.15;WGS-84;2574697.14;1733731.75;5553307.87;BL-WGS;60°57'38.4398";33°57'18.9485";Hw= 103.89;Gwg= 14.88
11225;P3629218 2;Tакручей, сигн. 32.6 м;Центр 37;СК-42;P-36-117-Б-в;6751082.60;6569978.75;Hn= 143.4  ;G98=  1.96;BL-42;60°51'48.4093";34°17'16.2230";G87=  2.38;CK-63/42;C-63- 42-Б-в;6739385.26;C4268358.32;6742273.72;C5105364.26;СК-95;6751084.38;6569979.19;Hg= 144.93;EGM=  1.53;BL-95;34°17'16.2545";60°51'48.4665";ПЗ-90.02;2572493.55;1753891.25;5548091.73;ПЗ-90.02;2572493.55;1753891.25;5548091.73;WGS-84;2572494.22;1753891.76;5548093.45;BL-WGS;60°51'48.7616";34°17'08.2919";Hw= 158.17;Gwg= 14.77
12181;P3629323 3;;Центр;СК-42;P-36-117-В-б;6747104.52;6566921.92;Hn= 126.10 ;G98=  1.96;BL-42;60°49'41.8127";34°13'48.8170";G87=  2.45;CK-63/42;C-63- 42-Б-в;6735452.08;C4265244.38;6738486.03;C5102072.90;СК-95;6747106.27;6566922.35;Hg= 127.62;EGM=  1.52;BL-95;34°13'48.8477";60°49'41.8689";ПЗ-90.02;2577078.38;1753223.93;5546167.64;ПЗ-90.02;2577078.38;1753223.93;5546167.64;WGS-84;2577079.06;1753224.44;5546169.35;BL-WGS;60°49'42.1586";34°13'40.8904";Hw= 140.92;Gwg= 14.81
12403;P3629324 3;;Центр;СК-42;P-36-117-В-а;6745697.23;6557779.74;Hn= 139.30 ;G98=  1.79;BL-42;60°49'01.5130";34°03'42.4229";G87=  2.47;CK-63/42;C-63- 42-А-в;6734177.34;C4256083.20;6737631.13;C5092860.43;СК-95;6745698.98;6557780.19;Hg= 140.62;EGM=  1.32;BL-95;34°03'42.4545";60°49'01.5693";ПЗ-90.02;2583129.39;1746253.69;5545570.87;ПЗ-90.02;2583129.39;1746253.69;5545570.87;WGS-84;2583130.08;1746254.20;5545572.58;BL-WGS;60°49'01.8482";34°03'34.4895";Hw= 154.09;Gwg= 14.78
12516;P3629322 3;;Центр;СК-42;P-36-117-Б-в;6756185.86;6573335.15;Hn= 144.20 ;G98=  1.94;BL-42;60°54'31.0575";34°21'05.4865";G87=  2.29;CK-63/42;C-63- 42-Б-б;6744439.07;C4271788.10;6747166.58;C5109022.48;СК-95;6756187.67;6573335.61;Hg= 145.72;EGM=  1.52;BL-95;34°21'05.5195";60°54'31.1157";ПЗ-90.02;2566911.37;1754267.80;5550541.95;ПЗ-90.02;2566911.37;1754267.80;5550541.95;WGS-84;2566912.04;1754268.31;5550543.67;BL-WGS;60°54'31.4171";34°20'57.5495";Hw= 158.90;Gwg= 14.70
