Distant;Comment1;Name_Type;Center_Marka;Proj1;Nomenklatura1;SK42_X;SK42_Y;Hn;G98;Proj2;SK42_B;SK42_L;G87;Proj3;SK63_X;SK63_Y;SK63_X2;SK63_Y2;Proj4;SK95_X;SK95_Y;Hg;EGM;Proj5;SK95_L;SK95_B;Proj6;PZ90_X;PZ90_Y;PZ90_Z;Proj7;PZ9002_X;PZ9002_Y;PZ9002_Z;Proj8;WGS84_X;WGS84_Y;WGS84_Z;Proj9;WGS84_B;WGS84_L;Hw;Gwg
1463;N3609317 3;Городок, сигн. 23.0 м;Центр 1;СК-42;N-36-030-В-г;6106056.77;6483105.28;216.05 ;2.63;BL-42;55°04'40.9347";32°44'07.7504";3.52;CK-63/42;P-45- 74-Г-в;6093153.29;P1266105.22;6096575.62;P2074515.61;СК-95;6106055.39;6483107.63;218.68;None;BL-95;32°44'07.8831";55°04'40.8903";ПЗ-90;3078443.60;1978874.41;5206549.85;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
4268;N3609400 4;Школа, геознак на зд.;Центр марка(утрачен);Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;BL-42;55°03'54.1692";32°41'14.5097";3.49;CK-63/42;P-45- 74-В-г;6091697.08;P1263035.83;6095252.00;P2071385.35;Формат??;Формат??;Формат??;Формат??;Формат??;BL-95;32°41'14.6418";55°03'54.1255";ПЗ-90;3080997.20;1976860.87;5205542.54;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
4573;N3609214 2;Bышегор, сигн. 33.6 м;Центр 1;СК-42;N-36-030-Г-в;6106300.48;6488688.43;218.28 ;2.71;BL-42;55°04'49.3860";32°49'22.4007";3.55;CK-63/42;P-45- 74-Г-в;6093438.27;P1271686.43;6096620.77;P2080105.93;СК-95;6106299.10;6488690.84;220.99;None;BL-95;32°49'22.5367";55°04'49.3416";ПЗ-90;3075242.11;1983452.74;5206701.36;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
4586;N3609318 3;Пронькино ii, сигн. 23.9 м;Центр 1;СК-42;N-36-030-В-г;6100710.23;6483139.89;210.18 ;2.60;BL-42;55°01'48.0478";32°44'10.8378";3.51;CK-63/42;P-45- 74-Г-в;6087807.15;P1266179.35;6091229.23;P2074360.18;СК-95;6100708.85;6483142.20;212.78;None;BL-95;32°44'10.9681";55°01'48.0035";ПЗ-90;3082097.59;1981288.57;5203482.50;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
4744;Формат??;Формат??;Центр 153;СК-42;N-36-030-В-г;6105248.70;6479516.00;181.00 ;2.59;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-45- 74-В-г;6092318.70;P1262522.02;6095895.36;P2070898.51;СК-95*;6105247.34;6479518.37;183.59;None;BL-95;32°40'45.7912";55°04'14.2747";ПЗ-90;3080932.21;1976210.85;5206049.85;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
7464;Формат??;Формат??;Центр 153;СК-42;N-36-030-В-г;6104138.10;6476865.50;187.60 ;2.56;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-45- 74-В-г;6091188.54;P1259879.81;6094879.25;P2068209.16;СК-95*;6104136.72;6476867.87;190.16;None;BL-95;32°38'16.7540";55°03'37.9423";ПЗ-90;3083138.25;1974483.03;5205411.83;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
9226;N3609337 3;Пронькино i, сигн. 27.1 м;Центр 1оп;СК-42;N-36-042-Б-а;6095934.68;6484493.85;193.71 ;2.60;BL-42;54°59'13.7779";32°45'27.9911";3.51;CK-63/42;P-44- 74-Б-а;6083041.73;P1267568.55;6086406.82;P2075544.15;СК-95;6095933.26;6484496.15;196.31;None;BL-95;32°45'28.1207";54°59'13.7323";ПЗ-90;3084635.13;1984550.97;5200733.17;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
9298;N3609212 2;Cапрыкино, сигн. 20.2 м;Центр 1;СК-42;N-36-030-В-в;6106284.41;6475029.69;236.42 ;2.55;BL-42;55°04'47.0710";32°36'32.5180";3.46;CK-63/42;P-45- 74-В-г;6093321.21;P1258028.20;6097090.34;P2066450.07;СК-95;6106283.04;6475032.13;238.97;None;BL-95;32°36'32.6560";55°04'47.0271";ПЗ-90;3082682.48;1971997.92;5206675.13;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
9702;Формат??;Формат??;Центр 153;СК-42;N-36-030-Г-г;6106032.10;6493922.80;217.50 ;2.80;Формат??;Формат??;Формат??;Формат??;CK-63/42;P-45- 74-Г-г;6093208.60;P1276922.67;6096166.38;P2085329.24;СК-95*;6106030.74;6493925.12;220.30;None;BL-95;32°54'17.5973";55°04'40.9932";ПЗ-90;3072578.85;1987964.57;5206553.00;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
10121;N3609319 3;Mанчино, сигн. 11.7 м;Центр 1;СК-42;N-36-030-Г-а;6111902.33;6491806.95;208.00 ;2.83;BL-42;55°07'50.7533";32°52'17.6011";3.58;CK-63/42;P-45- 74-Г-б;6099063.06;P1274763.45;6102110.11;P2083422.78;СК-95;6111900.93;6491809.39;210.83;None;BL-95;32°52'17.7390";55°07'50.7082";ПЗ-90;3069687.43;1983564.07;5209901.64;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??;Формат??
